"EV use group ID","EV use Groups","Survey","Percentage of Survey"
1,"Electric car",40,0.0995024875621891
2,"Hybrid car: Pure hybrid",39,0.0970149253731343
3,"Hybrid car: Plug-in hybrid",29,0.0721393034825871
4,"Hybrid car: Range Extender vehicle",21,0.0522388059701493
5,"Electric motorcycle",21,0.0522388059701493
6,"Electric bicycle",52,0.129353233830846
7,"Electric scooter",21,0.0522388059701493
8,"Other",32,0.0796019900497512
9,"None",145,0.360696517412935
10,"Don't know",2,0.00497512437810945
