"Transport spending group ID","Transport spending groups","Public transport mobility spending","Car mobility spending","Percentage of public transport mobility spending","Percentage of Ccr mobility spending"
1,"100 CHF or less",216,97,0.717607973421927,0.322259136212625
2,"101 to 200 CHF",26,56,0.0863787375415282,0.186046511627907
3,"201 to 300 CHF",16,49,0.053156146179402,0.162790697674419
4,"301 to 400 CHF",17,25,0.0564784053156146,0.0830564784053156
5,"401 to 500 CHF",9,18,0.0299003322259136,0.0598006644518272
6,"501 to 600 CHF",2,15,0.00664451827242525,0.0498338870431894
7,"601 to 700 CHF",1,9,0.00332225913621262,0.0299003322259136
8,"701 to 800 CHF",1,11,0.00332225913621262,0.0365448504983389
9,"801 to 900 CHF",7,7,0.0232558139534884,0.0232558139534884
10,"901 to 1'000 CHF",2,3,0.00664451827242525,0.00996677740863787
11,"1'001 to 1'100 CHF",0,1,0,0.00332225913621262
12,"1'101 to 1'200 CHF",0,2,0,0.00664451827242525
13,"1'201 to 1'300 CHF",0,0,0,0
14,"1'301 to 1'400 CHF",0,0,0,0
15,"1'401 to 1'500 CHF",1,1,0.00332225913621262,0.00332225913621262
16,"1'501 to 1'600 CHF",0,1,0,0.00332225913621262
17,"1'601 to 1'700 CHF",0,0,0,0
18,"1'701 to 1'800 CHF",0,0,0,0
19,"1'801 to 1'900 CHF",0,1,0,0.00332225913621262
20,"1'901 to 2'000 CHF",0,1,0,0.00332225913621262
21,"2'001 to 2'100 CHF",0,0,0,0
22,"2'101 to 2'200 CHF",1,0,0.00332225913621262,0
23,"2'201 to 2'300 CHF",0,0,0,0
24,"2'301 to 2'400 CHF",0,0,0,0
25,"2'401 to 2'500 CHF",0,0,0,0
26,"2'501 to 2'600 CHF",0,0,0,0
27,"2'601 to 2'700 CHF",0,0,0,0
28,"2'701 to 2'800 CHF",0,0,0,0
29,"2'801 to 2'900 CHF",0,0,0,0
30,"2'901 to 3'000 CHF",0,1,0,0.00332225913621262
31,"3'001 to 3'100 CHF",0,1,0,0.00332225913621262
32,"3'101 to 3'200 CHF",0,1,0,0.00332225913621262
33,"3'201 to 3'300 CHF",0,0,0,0
34,"3'301 to 3'400 CHF",0,0,0,0
35,"3'401 to 3'500 CHF",0,0,0,0
36,"3'501 to 3'600 CHF",0,0,0,0
37,"3'601 to 3'700 CHF",0,0,0,0
38,"3'701 to 3'800 CHF",0,0,0,0
39,"3'801 to 3'900 CHF",0,0,0,0
40,"3'901 to 4'000 CHF",0,0,0,0
41,"4'001 to 4'100 CHF",0,0,0,0
42,"4'101 to 4'200 CHF",0,0,0,0
43,"4'201 to 4'300 CHF",0,0,0,0
44,"4'301 to 4'400 CHF",0,0,0,0
45,"4'401 to 4'500 CHF",0,0,0,0
46,"4'501 to 4'600 CHF",0,0,0,0
47,"4,601 to 4,700 CHF",0,0,0,0
48,"4'701 to 4'800 CHF",0,0,0,0
49,"4'801 to 4'900 CHF",0,0,0,0
50,"4'901 to 5'000 CHF",0,0,0,0
51,"5'001 to 5'100 CHF",0,0,0,0
52,"5'101 to 5'200 CHF",0,0,0,0
53,"5'201 to 5'300 CHF",0,0,0,0
54,"5'301 to 5'400 CHF",1,0,0.00332225913621262,0
55,"5'401 to 5'500 CHF",0,1,0,0.00332225913621262
56,"5'501 to 5'600 CHF",0,0,0,0
57,"5'601 to 5'700 CHF",0,0,0,0
58,"5'701 to 4'800 CHF",0,0,0,0
59,"5'801 to 5'900 CHF",0,0,0,0
60,"5'901 to 6'000 CHF",0,0,0,0
61,"6'001 to 6'100 CHF",0,0,0,0
62,"6'101 to 6'200 CHF",0,0,0,0
63,"6'201 to 6'300 CHF",0,0,0,0
64,"6'301 to 6'400 CHF",0,0,0,0
65,"6'401 to 6'500 CHF",0,0,0,0
66,"6'501 to 6'600 CHF",0,0,0,0
67,"6'601 to 6'700 CHF",0,0,0,0
68,"6'701 to 6'800 CHF",0,0,0,0
69,"6'801 to 6'900 CHF",0,0,0,0
70,"6'901 to 7'000 CHF",0,0,0,0
71,"7'001 to 7'100 CHF",0,0,0,0
72,"7'101 to 7'200 CHF",0,0,0,0
73,"7'201 to 7'300 CHF",0,0,0,0
74,"7'301 to 7'400 CHF",0,0,0,0
75,"7'401 to 7'500 CHF",0,0,0,0
76,"7'501 to 7'600 CHF",0,0,0,0
77,"7'601 to 7'700 CHF",0,0,0,0
78,"7'701 to 7'800 CHF",0,0,0,0
79,"7'801 to 7'900 CHF",0,0,0,0
80,"7'901 to 8'000 CHF",0,0,0,0
81,"8'001 to 8'100 CHF",1,0,0.00332225913621262,0
82,"8'101 to 8'200 CHF",0,0,0,0
83,"8'201 to 8'300 CHF",0,0,0,0
84,"8'301 to 8'400 CHF",0,0,0,0
85,"8'401 to 8'500 CHF",0,0,0,0
86,"8'501 to 8'600 CHF",0,0,0,0
87,"8'601 to 8'700 CHF",0,0,0,0
88,"8'701 to 8'800 CHF",0,0,0,0
89,"8'801 to 8'900 CHF",0,0,0,0
90,"8'901 to 9'000 CHF",0,0,0,0
91,"9'001 to 9'100 CHF",0,0,0,0
92,"9'101 to 9'200 CHF",0,0,0,0
93,"9'201 to 9'300 CHF",0,0,0,0
94,"9'301 to 9'400 CHF",0,0,0,0
95,"9'401 to 9'500 CHF",0,0,0,0
96,"9'501 to 9'600 CHF",0,0,0,0
97,"9'601 to 9'700 CHF",0,0,0,0
98,"9'701 to 9'800 CHF",0,0,0,0
99,"9'801 to 9'900 CHF",0,0,0,0
100,"9'901 to 10'000 CHF",0,0,0,0
101,"More than 10'000 CHF",0,0,0,0
